row-number,field,issue-type,value
1,reference,default,654757
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2021-01-29
2,reference,default,654758
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2021-01-29
3,reference,default,654759
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2021-01-29
4,reference,default,654760
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2021-01-29
5,reference,default,654761
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2021-01-29
6,reference,default,654762
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2021-01-29
7,reference,default,654763
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2021-01-29
8,reference,default,654764
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2021-01-29
9,reference,default,654450
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2021-01-29
10,reference,default,654452
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2021-01-29
11,reference,default,654453
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2021-01-29
12,reference,default,654454
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2021-01-29
13,reference,default,654455
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2021-01-29
14,reference,default,654460
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2021-01-29
15,reference,default,654461
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2021-01-29
16,reference,default,654451
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2021-01-29
17,reference,default,654462
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2021-01-29
18,reference,default,654463
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2021-01-29
19,reference,default,654457
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2021-01-29
20,reference,default,654458
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2021-01-29
21,reference,default,654456
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2021-01-29
22,reference,default,654459
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2021-01-29
23,reference,default,654464
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2021-01-29
24,reference,default,654753
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2021-01-29
25,reference,default,654754
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2021-01-29
26,reference,default,654755
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2021-01-29
27,reference,default,654756
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2021-01-29
