row-number,field,issue-type,value
1,reference,default,Conservation_Areas
1,organisation,default,local-authority-eng:LND
1,entry-date,default,2020-09-17
2,reference,default,Conservation_Areas
2,organisation,default,local-authority-eng:LND
2,entry-date,default,2020-09-17
3,reference,default,Conservation_Areas
3,organisation,default,local-authority-eng:LND
3,entry-date,default,2020-09-17
4,reference,default,Conservation_Areas
4,organisation,default,local-authority-eng:LND
4,entry-date,default,2020-09-17
5,reference,default,Conservation_Areas
5,organisation,default,local-authority-eng:LND
5,entry-date,default,2020-09-17
6,reference,default,Conservation_Areas
6,organisation,default,local-authority-eng:LND
6,entry-date,default,2020-09-17
7,reference,default,Conservation_Areas
7,organisation,default,local-authority-eng:LND
7,entry-date,default,2020-09-17
8,reference,default,Conservation_Areas
8,organisation,default,local-authority-eng:LND
8,entry-date,default,2020-09-17
9,reference,default,Conservation_Areas
9,organisation,default,local-authority-eng:LND
9,entry-date,default,2020-09-17
10,reference,default,Conservation_Areas
10,organisation,default,local-authority-eng:LND
10,entry-date,default,2020-09-17
11,reference,default,Conservation_Areas
11,organisation,default,local-authority-eng:LND
11,entry-date,default,2020-09-17
12,reference,default,Conservation_Areas
12,organisation,default,local-authority-eng:LND
12,entry-date,default,2020-09-17
13,reference,default,Conservation_Areas
13,organisation,default,local-authority-eng:LND
13,entry-date,default,2020-09-17
14,reference,default,Conservation_Areas
14,organisation,default,local-authority-eng:LND
14,entry-date,default,2020-09-17
15,reference,default,Conservation_Areas
15,organisation,default,local-authority-eng:LND
15,entry-date,default,2020-09-17
16,reference,default,Conservation_Areas
16,organisation,default,local-authority-eng:LND
16,entry-date,default,2020-09-17
17,reference,default,Conservation_Areas
17,organisation,default,local-authority-eng:LND
17,entry-date,default,2020-09-17
18,reference,default,Conservation_Areas
18,organisation,default,local-authority-eng:LND
18,entry-date,default,2020-09-17
19,reference,default,Conservation_Areas
19,organisation,default,local-authority-eng:LND
19,entry-date,default,2020-09-17
20,reference,default,Conservation_Areas
20,organisation,default,local-authority-eng:LND
20,entry-date,default,2020-09-17
21,reference,default,Conservation_Areas
21,organisation,default,local-authority-eng:LND
21,entry-date,default,2020-09-17
22,reference,default,Conservation_Areas
22,organisation,default,local-authority-eng:LND
22,entry-date,default,2020-09-17
23,reference,default,Conservation_Areas
23,organisation,default,local-authority-eng:LND
23,entry-date,default,2020-09-17
24,reference,default,Conservation_Areas
24,organisation,default,local-authority-eng:LND
24,entry-date,default,2020-09-17
25,reference,default,Conservation_Areas
25,organisation,default,local-authority-eng:LND
25,entry-date,default,2020-09-17
26,reference,default,Conservation_Areas
26,organisation,default,local-authority-eng:LND
26,entry-date,default,2020-09-17
27,reference,default,Conservation_Areas
27,organisation,default,local-authority-eng:LND
27,entry-date,default,2020-09-17
